embedding	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
48603,48604	PER	Arcadio Arellano	Arcadio Arellano	Arcadio Arellano	Q28109287
48607,48608	PER	Angel José	Angel José	Angel José	
48610	PER	Galo	Galo	Galo	
48612	PER	Lichanco	Lichanco	Lichanco	
48615,48616	PER	Felipe Barretto	Felipe Barretto	Felipe Barretto	
48618,48619,48620,48621	PER	Gregorio M . Canpipit	Gregorio M . Canpipit	Gregorio M. Canpipit	
48639	MISC	Renacimiento	Renacimiento	Renacimiento	
48650,48651,48652	PER	Dean C. Worcerter	Dean C. Worcester	Dean Conant Worcester	Q530805
48675	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
48684	LOC	FILIPINAS	Filipinas	Filipinas	
48715	MISC	CAMAACORO	CAMAACORO	Camaacoro	
48920	MISC	Perla	Perla	Perla	
48921,48922	LOC	de Oriente	Oriente	Oriente	
48930	MISC	Luna	Luna	Luna	
49475	PER	Virgen	Virgen	Virgen María	Q345
49514,49515	PER	ISABEL CORTEZ	Isabel Cortez	Isabel Cortez	
49518	LOC	Zamboanga	Zamboanga	Zamboanga	
49541	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
49559	LOC	Manila	Manila	Manila	
49693	MISC	FILIPINAS	Filipinas	Filipinas	
49778	MISC	JOHN	John	John	
49779,49780,49781	LOC	R. EDGAR Y	R. EDGAR Y	R. Edgar y	
49783	LOC	Escolta	Escolta	Escolta	
49789	LOC	Maynila	Manila	Manila	
49798	MISC	Suzos	Suizos	Suizos	
49800	MISC	Franceses	Franceses	Franceses	
49805,49806,49807	MISC	EL RELOS ORION	EL RELOS ORION	El Relos Orion	
49822,49823	PER	Felix olimann	Felix olimann	Felix olimann	
49829	LOC	Escolta	Escolta	Escolta	
49833	LOC	Manila	Manila	Manila	
49862,49863	LOC	Restaurant Manila	Restaurant Manila	Restaurant Manila	
49865,49866,49867,49868	LOC	Plaza Sta . Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
49889,49890	LOC	San Roque	San Roque	San Roque	
49892,49893	LOC	Santa Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
49895	LOC	Manila	Manila	Manila	
49982,49983	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
49988	LOC	GOS	GOS	Gos	
49994	LOC	FILIPINAS	Filipinas	Filipinas	
49999	LOC	ROSARIO	Rosario	Rosario	
50009	LOC	Manila	Manila	Manila	
50017	MISC	Exterior	Exterior	Exterior	
50054	LOC	FILIPINAS	Filipinas	Filipinas	
50057	LOC	Manila	Manila	Manila	
50231,50232,50233,50234	ORG	Servicio Central de Correo	Servicio Central de Correo	Servicio Central de Correo	
50361	ORG	Pátria	Patria	Patria	
50386	LOC	FILIPINAS	Filipinas	Filipinas	
50666	MISC	ERTREMO	ERTREMO	Ertremo	
50667	LOC	ORIENTE	Oriente	Oriente	
50671	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
51176	LOC	FILIPINAS	Filipinas	Filipinas	
51189,51190,51191,51192	ORG	Alianza de Higiene Social	Alianza de Higiene Social	Alianza de Higiene Social	
51195,51196	LOC	Buenos Aires	Buenos Aires	Buenos Aires	
51260,51261,51262	ORG	Club de Madres	Club de Madres	Club de Madres	
51272,51273	LOC	Buenos Aires	Buenos Aires	Buenos Aires	
51593,51594	LOC	ERTREMO ORIENTE	Oriente	Oriente	
51595	LOC	Cervantes	Cervantes	Cervantes	
51605	LOC	FILIPINAS	Filipinas	Filipinas	
51683	MISC	Patria	Patria	Patria	
52430,52431,52432,52433	PER	Juana de la Cruz	Juana de la Cruz	Sor Juana Inés de la Cruz	Q183074
52466	LOC	Cebú	Cebú	Cebú	
52482,52483,52484,52485	PER	BENITA A. DE RODA	BENITA A. DE RODA	Benita A. de Roda	
52505	MISC	TUNA	TUNA	Tuna	
52508,52509	MISC	LA ESPERANZA	La Esperanza	La Esperanza	
52522,52523	LOC	EXTREMO ORIENTE	Oriente	Oriente	
52524	LOC	Cervantes	Cervantes	Cervantes	
52535	LOC	FILIPINAS	Filipinas	Filipinas	
52967	PER	Cristo	Cristo	Jesús de Nazaret	Q302
52980,52981	PER	El loco	El loco	El loco	
53080	PER	Padre	Padre	Padre	
53195	PER	Manuel	Manuel	Manuel	
53428,53429,53430	LOC	Vicente E. Genato	Vicente E. Genato	Vicente E. Genato	
53434,53435	MISC	JAMON PINA	JAMON PINA	Jamon Pina	
53441	LOC	Manila	Manila	Manila	
53456	MISC	ORIENTE	Oriente	Oriente	
53457	MISC	Cervantes	Cervantes	Cervantes	
53468	LOC	FILIPINAS	Filipinas	Filipinas	
53506	ORG	ESCOlía	Escolta	Escolta	
53508,53509,53510,53511	ORG	THE SAN FRANCISCO ESCOLa	THE SAN FRANCISCO ESCOLa	THE SAN FRANCISCO ESCOLa	
53514	PER	PILATOS	PILATOS	Poncio Pilato	Q17131
53622	PER	Padre	Padre	Padre	
53678,53679	MISC	Semana Santa	Semana Santa	Semana Santa	
53692	PER	Mayuel	Mayuel	Manuel	
53743	PER	Padre	Padre	Padre	
53863,53864	MISC	Jueves Santo	Jueves Santo	Jueves Santo	
53874	PER	Manuel	Manuel	Manuel	
53901	PER	Nazareno	Nazareno	Nazareno	Q94412661
53933	MISC	Canas	Canas	Canas	
53936	PER	Quirona	Quirona	Quirona	
53948	PER	Quiroga	QUIROGA	Quiroga	
53960	LOC	Jaya	Jaya	Jaya	
53974,53975	MISC	MODELO QUIROGA	MODELO QUIROGA	Modelo Quiroga	
54055	PER	Padre	Padre	Padre	
54089	PER	Manuel	Manuel	Manuel	
54122	PER	Manuel	Manuel	Manuel	
54218,54219,54220,54221,54222	PER	La Condesa de PARDO BAZAN	La Condesa de PARDO BAZAN	Emilia Pardo Bazán	Q275929
54249,54250	MISC	JAMON PINA	JAMON PINA	Jamon Pina	
54255,54256,54257	PER	Vicente E. Genato	Vicente E. Genato	Vicente E. Genato	
54264	LOC	Escolta	Escolta	Escolta	
54269	LOC	Manila	Manila	Manila	
54287	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
54306	LOC	Manila	Manila	Manila	
54326	LOC	FILIPINAS	Filipinas	Filipinas	
54344,54345	PER	ASUNCION MANAHAN	ASUNCION MANAHAN	Asuncion Manahan	
54352,54353	LOC	Sta Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
54356	LOC	FILIPINAS	Filipinas	Filipinas	
54384,54385,54386,54387	PER	ISABELO DE LOS REYES	Isabelo de los Reyes	Isabelo de los Reyes	Q3550199
54393	MISC	TAGUMPAY	TAGUMPAY	Tagumpay	
54396,54397,54398,54399	ORG	UNION DE TIPOGRAFOS FILIPINOS	UNION DE TIPOGRAFOS FILIPINOS	Union de Tipografos Filipinos	
54431,54432,54433,54434	LOC	Plaza Sta . Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
54440	LOC	MANILA	Manila	Manila	
54466,54467	LOC	INTERNATIONAL STUDIO	International Studio	International Studio	
54473	LOC	MANILA	Manila	Manila	
54476	LOC	RIZAL	Rizal	Rizal	
54486	LOC	LACOSTE	Lacoste	Lacoste	
54491	LOC	CRUZ	Cruz	Cruz	
54521	LOC	Legaspi	Legaspi	Legaspi	
54524	MISC	Kalibo	Kalibo	Kalibo	
54526	MISC	Iloilo	Iloilo	Iloilo	
54562,54563	PER	ELPIDIA YÍA	Elpidia Yía	Elpidia Yía	
54604	LOC	Pagsanghan	Pagsanghan	Pagsanghan	
54606	LOC	Laguna	Laguna	Laguna	
54614,54615,54616	ORG	Instituto de Mujeres	Instituto de Mujeres	Instituto de Mujeres	
54661	LOC	Laguna	Laguna	Laguna	
54669	LOC	Manila	Manila	Manila	
54697,54698	LOC	Estados Unidos	Estados Unidos	Estados Unidos	
54726,54727	PER	Elpidia Yía	Elpidia Yía	Elpidia Yía	
54739,54740	LOC	Extremo Oriente	Oriente	Oriente	
54761,54762,54763	ORG	Philippines Free Press	Philippines Free Press	Philippines Free Press	
54773,54774	LOC	VOLCAN MAYON	VOLCAN MAYON	Volcan Mayon	
54783	LOC	Filipinas	Filipinas	Filipinas	
54825	LOC	Luzon	Luzon	Luzon	
54828	LOC	MAYON	MAYON	Mayon	
54834	LOC	Albay	Albay	Albay	
54842	LOC	Filipinas	Filipinas	Filipinas	
54882	LOC	Madrid-	Madrid	Madrid	
54896	LOC	Libog	Libog	Libog	
54902	LOC	Albay	Albay	Albay	
54930,54931	LOC	Camarines Sur	Camarines Sur	Camarines Sur	
54933	LOC	Albay	Albay	Albay	
54961,54962	LOC	Camarines Sur	Camarines Sur	Camarines Sur	
54964	LOC	Albay	Albay	Albay	
54968	LOC	MAYON	MAYON	Mayon	
54986,54987	LOC	San Bernardino	San Bernardino	San Bernardino	
55063	LOC	Malinaw	Malinaw	Malinaw	
55071	LOC	Cagsawa	Cagsawa	Cagsawa	
55073	LOC	Camalig	Camalig	Camalig	
55075	LOC	Budyaw	Budyaw	Budyaw	
55077	LOC	Guinobatan	Guinobatan	Guinobatan	
55079	LOC	Polangui	Polangui	Polangui	
55081	LOC	Ligaw	Ligaw	Ligaw	
55323,55324	PER	FELICIDAD VILLARICA	FELICIDAD VILLARICA	Felicidad Villarica	
55330,55331	PER	FELICIDAD VILLARICA	FELICIDAD VILLARICA	Felicidad Villarica	
55364	LOC	Marilaw	Marilaw	Marilaw	
55368	LOC	Bulacan	Bulacan	Bulacan	
55443,55444,55445	PER	JOSEPHINE LEOPOLDINE TAUFER	JOSEPHINE LEOPOLDINE TAUFER	Josephine Bracken	Q1965049
55455,55456	PER	José Rizal	José Rizal	José Rizal	Q1500
55463	LOC	Dapitan	Dapitan	Dapitan	
55470	PER	Josephina	Josephina	Josephine Bracken	Q1965049
55472,55473	PER	Dr. Rizal	Dr. Rizal	José Rizal	Q1500
55479	LOC	Dapitan	Dapitan	Dapitan	
55547	PER	DIOS	Dios	Dios	Q190
55615,55616	PER	JOSE RIZAL	José Rizal	José Rizal	Q1500
55620	MISC	FILIPINAS	Filipinas	Filipinas	
55706	LOC	Manila	Manila	Manila	
55731	LOC	FILIPINAS	Filipinas	Filipinas	
55737,55738,55739,55740,55741	LOC	Calle de Misericordia Núm .	Calle de Misericordia	Calle de Misericordia	
55745,55746	LOC	Santa Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
55750,55751	PER	Constancia Poblete	Constancia Poblete	Constancia Poblete	
55754,55755	PER	Francisca Gesmundo	Francisca Gesmundo	Francisca Gesmundo	
55763,55764	PER	Andrés Bonifacio	Andrés Bonifacio	Andrés Bonifacio	Q313604
55794,55795	PER	Andrés Bonifacio	Andrés Bonifacio	Andrés Bonifacio	Q313604
55867	MISC	Pátria	Patria	Patria	
55884	LOC	Filipinas	Filipinas	Filipinas	
55994	LOC	Arabia	Arabia	Arabia	
56009,56010,56011	LOC	Plaza de Santa	Plaza de Santa Cruz	Plaza de Santa Cruz	
56013	LOC	Cruz	Cruz	Cruz	
56163	PER	Silvano	Silvano	Silvano	
56240	PER	Silvano	Silvano	Silvano	
56248	ORG	Bangon	Bangon	Bangon	
56404	PER	Silvano	Silvano	Silvano	
56416	ORG	Bangon	Bangon	Bangon	
56481,56482,56483	ORG	FILIPINAS	Filipinas	Filipinas	
56485	ORG	School	School	School	
56625	LOC	Manila	Manila	Manila	
56672	ORG	Patria	Patria	Patria	
56679	PER	Dios	Dios	Dios	Q190
56698	PER	Silvano	Silvano	Silvano	
56729	PER	Silvano	Silvano	Silvano	
56821	PER	Silvano	Silvano	Silvano	
56885	PER	Silvano	Silvano	Silvano	
56912,56913	MISC	Sol Naciente	Sol Naciente	Sol Naciente	
56995	PER	Silvano	Silvano	Silvano	
57025	PER	Silvano	Silvano	Silvano	
57096	PER	Silvado	Silvado	Silvado	
57105	ORG	Bangon	Bangon	Bangon	
57137,57138	PER	JUSTINA ILIWANAG	JUSTINA ILIWANAG	Justina Iliwanag	
57143	LOC	Pangasinan	Pangasinan	Pangasinan	
57145	LOC	Laguna	Laguna	Laguna	
57179	MISC	Patria	Patria	Patria	
57454	PER	Dios	Dios	Dios	Q190
57459	MISC	Pátria	Patria	Patria	
57487,57488	ORG	LA ESPERANZA	La Esperanza	La Esperanza	
57659	LOC	FILIPINAS	Filipinas	Filipinas	
57757	PER	Dios	Dios	Dios	Q190
57909	PER	Beatriz	Beatriz	Beatriz	
58056	PER	Beatriz	Beatriz	Beatriz	
58083	PER	Beatriz	Beatriz	Beatriz	
58086	PER	Alfonso	Alfonso XIII	Alfonso XIII de España	Q18363
58093	PER	Alfonso	Alfonso XIII	Alfonso XIII de España	Q18363
58111	PER	Beatriz	Beatriz	Beatriz	
58158	PER	Dios	Dios	Dios	Q190
58163	MISC	Pátria	Patria	Patria	
58229	PER	Artífice	Artífice	Artífice	
58281	MISC	Pátria	Patria	Patria	
58289	PER	Alfonso	Alfonso XIII	Alfonso XIII de España	Q18363
58326	MISC	Pátria	Patria	Patria	
58426	LOC	Filipinas	Filipinas	Filipinas	
58734	MISC	FILIPINAS	Filipinas	Filipinas	
58881	ORG	FILIPINAS	Filipinas	Filipinas	
58894	MISC	Album	Álbum	Álbum	
58897	ORG	FILIPINAS	Filipinas	Filipinas	
58929	MISC	Album	Álbum	Álbum	
58932	MISC	FILIPINAS	Filipinas	Filipinas	
58946	ORG	FILIPINAS	Filipinas	Filipinas	
58966	MISC	Album	Álbum	Álbum	
58973	ORG	FILIPINAS	Filipinas	Filipinas	
59078,59079,59080,59081	MISC	Album del semanario Filipinas	Album del semanario Filipinas	Album del semanario Filipinas	
59135,59136,59137,59138	ORG	Empresa del semanario FILIPINAS	Empresa del semanario FILIPINAS	Empresa del semanario FILIPINAS	
59144	MISC	ÁLBUM	Álbum	Álbum	
59207	LOC	Filipinas	Filipinas	Filipinas	
59231,59232,59233	ORG	Comisión de Filipinas	Filipinas	Filipinas	
59237,59238	ORG	Asamblea Filipina	Filipinas	Filipinas	
59307,59308,59309	PER	Mrs. Helty Green	Mrs. Helty Green	Helty Green	
59321,59322,59323	PER	Mr Russell Sage	Mr Russell Sage	Russell Sage	Q3453498
59345,59346	PER	Von Bohlen	Von Bohlen	Peter van Bohlen	Q78113
59350	PER	Krupp	Krupp	Krupp	
59360,59361	PER	Ana Wauker	Ana Wauker	Ana Wauker	
59372	PER	Creel	Creel	Creel	
59381,59382	PER	Ogden Goelet	Ogden Goelet	Ogden Goelet	Q27926012
59384,59385,59386	PER	Duquesa de Roxburgh	Duquesa de Roxburgh	Duchess of Roxburghe	Q57266075
59394,59395	PER	Gladys Vanderbilt	Gladys Vanderbilt	Gladys Vanderbilt Széchenyi	Q276257
59397,59398,59399	PER	Condesa de Szechanbl	Condesa de Szechanbl	Condesa de Szechanbl	
59406,59407,59408	PER	Marquesa de Graham	Marquesa de Graham	Marquesa de Graham	
59412,59413,59414	PER	Duque de Hamilton	Duque de Hamilton	Jorge de Kent	Q160770
59428,59429	PER	Blundell Maple	Blundell Maple	Grace Emily Blundell Maple	Q76239791
59443,59444	PER	Jules Lebandy	Jules Lebandy	Jules Lebandy	
59460,59461,59462	PER	Emperador del Sahara	Emperador del Sahara	Emperador del Sahara	
59515,59516	PER	SAINT PROSPER	SAINT PROSPER	Próspero de Aquitania	Q454652
59543	PER	CARO	CARO	Caro	
59600	PER	THOMAS	THOMAS	Thomas	
59614,59615	PER	AIME Martin	AIME Martin	Aimé Martin	Q3260275
59653,59654,59655	PER	J . L	J . L	Juan Laurent	Q558371
59668	PER	BONALD	BONALD	Bonald	
59683	PER	LESSING	LESSING	Lessing	
59694	MISC	Caridad	Caridad	Caridad	
59740	PER	LEGOUVE	LEGOUVE	Ernest Legouvé	Q1333348
59776	PER	BUIGRICOUT	BUIGRICOUT	Buigricout	
59780	LOC	FILIPINAS	Filipinas	Filipinas	
59783,59784	MISC	MANILA FILATELICA	Manila Filatélica	Manila Filatélica	
59868,59869	LOC	Calle Soler	Calle Soler	Calle Soler	
59908,59909	MISC	EL SOL	EL SOL	El Sol	
59917,59918,59919	LOC	Calle de Enrile	Calle de Enrile	Calle de Enrile	
59922	LOC	Alcala	Alcala	Alcala	
59924,59925	LOC	Santa Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
59927,59928,59929	MISC	Agua de Sibul	Agua de Sibul	Agua de Sibul	
59956,59957	LOC	EL GUADALETE	EL GUADALETE	El Guadalete	
59959	LOC	CRESPO	Crespo	Crespo	
59963,59964	LOC	Francisco Carreon	Francisco Carreon	Francisco Carreon	
59969	LOC	Maycawayan	Maycawayan	Maycawayan	
59997,59998,59999	ORG	Manila Railroad Comp	Manila Railroad Comp	Manila Railroad Comp	
60012	LOC	Meycawayan	Maycawayan	Maycawayan	
60014	LOC	Bulacan	Bulacan	Bulacan	
60026	LOC	Binondo	Binondo	Binondo	
60029	LOC	Manila	Manila	Manila	
60062	LOC	Manila	Manila	Manila	
60064	LOC	FILIPINAS	Filipinas	Filipinas	
60082	MISC	QUIROGA	QUIROGA	Quiroga	
60096	LOC	Crespo	Crespo	Crespo	
60101	LOC	Quiapo	Quiapo	Quiapo	
60103	LOC	Manila	Manila	Manila	
60121	LOC	VILLALOBOS	VILLALOBOS	Villalobos	
60124	LOC	QUIAPO	Quiapo	Quiapo	
60125	LOC	MANILA	Manila	Manila	
60152	LOC	FILIPINAS	Filipinas	Filipinas	
60155	ORG	GERMINAL	GERMINAL	Germinal	
60157,60158,60159,60160,60161,60162,60163	ORG	COMPANIA NACIONAL MANUFACTURERA DE TABACOS Y CIGARRILLOS	COMPANIA NACIONAL MANUFACTURERA DE TABACOS Y CIGARRILLOS	Compania Nacional Manufacturera de Tabacos y Cigarrillos	
60173,60174,60175	LOC	MARQUES DE COMILLAS	MARQUES DE COMILLAS	Marques de Comillas	
60178	LOC	MANILA	Manila	Manila	
60279	LOC	Filipinás	Filipinas	Filipinas	
60296	ORG	GERMINAL	GERMINAL	Germinal	
60298	ORG	KATAGALUGAN	KATAGALUGAN	Katagalugan	
60300	ORG	KAPISANAN	KAPISANAN	Kapisanan	
60302	ORG	FLOREAL	FLOREAL	Floreal	
60305	ORG	FLOREAL	FLOREAL	Floreal	
60318,60319	ORG	JOE BUSH	Joe Bush	Joe Bush	
60375,60376,60377,60378,60379	LOC	Plaza de Sta . Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
60381	LOC	Manila	Manila	Manila	
60384,60385	LOC	La Esperanza	La Esperanza	La Esperanza	
60392	LOC	HERMANA	HERMANA	Hermana	
60393,60394	LOC	SAN PEDRO	SAN PEDRO	San Pedro	
60397	LOC	QUIAPO	Quiapo	Quiapo	
60424	LOC	Manila	Manila	Manila	
60441	LOC	FILIPINAS	Filipinas	Filipinas	
60459,60460	PER	FELICIDAD VILLARICA	FELICIDAD VILLARICA	Felicidad Villarica	
60467,60468	LOC	Sta Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
60471	LOC	FILIPINAS	Filipinas	Filipinas	
60503,60504,60505,60506	PER	ISABELO DE LOS REYES	Isabelo de los Reyes	Isabelo de los Reyes	Q3550199
60513	MISC	TAGUMPAY	TAGUMPAY	Tagumpay	
60517,60518,60519,60520	ORG	UNION DE TIPOGRAFOS FILIPINOS	UNION DE TIPOGRAFOS FILIPINOS	Union de Tipografos Filipinos	
60552,60553,60554,60555	LOC	Plaza Sta · Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
60562	LOC	MANILA	Manila	Manila	
60586,60587	PER	NENENG RIZAL	Neneng Rizal	Saturnina Hidalgo	Q7426830
60597,60598	LOC	CALLE LACOSTE	CALLE LACOSTE	Calle Lacoste	
60600,60601,60602	LOC	STA . CRUZ.--MANILA	STA . CRUZ.--MANILA	Sta. Cruz.--Manila	
60627	LOC	Legaspi	Legaspi	Legaspi	
60630	MISC	Kalibo	Kalibo	Kalibo	
60660,60661	ORG	E. U.	E. U.	E. U.	
60669,60670,60671	ORG	HARRIS & EWING	HARRIS & EWING	Harris & Ewing	
60676,60677,60678	PER	WILLIAM HOWARD TAFT	WILLIAM HOWARD TAFT	William Howard Taft	Q35648
60692,60693,60694	PER	WILLIAM HOWARD TAFT	WILLIAM HOWARD TAFT	William Howard Taft	Q35648
60766,60767,60768,60769,60770	LOC	Estados Unidos de Amé rica	Estados Unidos	Estados Unidos	
60789,60790	PER	Mr. Taft	Mr. Taft	William Howard Taft	Q35648
60837	PER	Taft	Taft	William Howard Taft	Q35648
60849,60850,60851	PER	Mrs . Taft	Mrs. Taft	Helen Herron Taft	Q255115
60880	PER	Taft	Taft	William Howard Taft	Q35648
60966	PER	Taft	Taft	William Howard Taft	Q35648
61006,61007,61008	PER	Mrs . Taft	Mrs. Taft	Helen Herron Taft	Q255115
61012,61013,61014,61015,61016	ORG	Liga Femenina de la Paz	Liga Femenina de la Paz	Liga Femenina de la Paz	
61055	LOC	Manila	Manila	Manila	
61080	LOC	Archipiélago	Archipiélago	Archipiélago	
61083,61084,61085	PER	Mrs . Taft	Mrs. Taft	Helen Herron Taft	Q255115
61104,61105	ORG	Comisión Civil	Filipinas	Filipinas	
61113,61114	ORG	Liga Femenina	Liga Femenina	Liga Femenina	
61125,61126,61127	PER	Mrs . Taft	Mrs. Taft	Helen Herron Taft	Q255115
61170	LOC	Manila	Manila	Manila	
61211,61212,61213,61214,61215	ORG	LIGA FEMENINA DE LA PAZ	Liga Femenina de la Paz	Liga Femenina de la Paz	
61222	PER	Presidenta	Presidenta	Helen Herron Taft	Q255115
61245,61246,61247	PER	Arsenio Cruz Herrera	Arsenio Cruz Herrera	Arsenio Cruz-Herrera	Q4796475
61275,61276	PER	Mrs. Taft	Mrs. Taft	Helen Herron Taft	Q255115
61290,61291,61292	PER	William H Taft	William H Taft	William Howard Taft	Q35648
61304,61305,61306,61307	LOC	Estados Unidos de América	Estados Unidos	Estados Unidos	
61324,61325,61326	PER	REINA DE ESPAÑA	REINA DE ESPAÑA	Victoria Eugenia de Battenberg	Q160001
61329,61330,61331	PER	VICTORIA EUGE .	VICTORIA EUGE .	Victoria Eugenia de Battenberg	Q160001
61339	PER	TENBERG	TENBERG	Victoria Eugenia de Battenberg	Q160001
61343,61344	PER	Alfonso XIII	Alfonso XIII	Alfonso XIII de España	Q18363
61348	LOC	España	España	España	
61353,61354,61355	PER	Enrique Batten berg	Enrique Batten berg	Enrique Batten berg	
61359,61360	PER	Princesa Beatriz	Princesa Beatriz	Beatriz del Reino Unido	Q158140
61367,61368	PER	Victoria I	Victoria I	Victoria del Reino Unido	Q9439
61373,61374,61375,61376,61377,61378	PER	Príncipe Alberto de Sajonia - Coburgo	Príncipe Alberto de Sajonia - Coburgo	Alberto de Sajonia-Coburgo-Gotha	Q152245
